candidate,constituency,party,criminal_cases,education,total_assets,liabilities
Bankim Chandra Hazra,SAGAR,AITC,0,Post Graduate,9090193,0
Bankim Chandra Santra,ARAMBAG (SC),BSP,0,Graduate,3512500,370000
Barsha Mahapatra,KHARAGPUR,Amra Bangalee,0,8th Pass,174100,14000
Barun Pramanik (Chitta),GOSABA (SC),BJP,27,Graduate,17854032,17000000
Basudeb Sikari,BISHNUPUR,Bahujan Mukti Party,0,12th Pass,2966137,680000
Besra Susanta Kumar,BANDWAN (ST),CPI(M),0,Post Graduate,3560372,2338640
Bhagirath Mahato,JOYPUR,SUCI(C),0,12th Pass,0,0
Bharati Ghosh,DEBRA,BJP,19,Post Graduate,192113310,7798626
Bhim Patra,TAMLUK,IND,0,Literate,256200,0
Bidhan Chandra Sing,NAYAGRAM (ST),IND,0,8th Pass,21900,0
Bidhan Parui,FALTA,BJP,5,12th Pass,255317,0
Bikash Chandra Das,CHANDIPUR,West Bengal Socialist Party,0,Post Graduate,1713769,1036577
Bikash Patra,ONDA,CPI(ML) Red Star,0,10th Pass,79700,0
Bikram Chandra Pradhan,DANTAN,AITC,2,12th Pass,1691439,101437
Bikram Chatterjee,MAHISHADAL,Rashtriya Secular Majlis Party,0,Post Graduate,649130,0
Bimal Poria,PANSKURA PURBA,Amra Bangalee,0,12th Pass,264494,0
Biman Banerjee,BARUIPUR PASCHIM,AITC,0,Post Graduate,23862266,0
Biman Ghosh,PURSURAH,BJP,2,Graduate,210379,0
Biplab Barai,MOYNA,IND,0,Post Graduate,2663860,1416800
Biplab Roy Chowdhury,PANSKURA PURBA,AITC,0,12th Pass,3581403,0
Birbaha Hansda,JHARGRAM,AITC,0,Graduate,306215,0
Birendranath Mahato,PURULIA,IND,0,10th Pass,260700,0
Bishwajit Mahata,MEDINIPUR,IND,0,10th Pass,60500,0
Biswajit Biswas,MAGRAHAT PURBA (SC),IND,0,12th Pass,10900,0
Biswajit Mondal,BASANTI (SC),IND,3,8th Pass,337323,0
Biswajit Sardar,DIAMOND HARBOUR,IND,0,10th Pass,15000,0
Biswanath Banerjee,MAHISHADAL,BJP,5,10th Pass,2105687,201148
Biswanath Das,KANTHI UTTAR,Indian Unity Centre,0,8th Pass,1441200,75000
Biswanath Das,JAYNAGAR (SC),AITC,0,Post Graduate,10789846,1458616
Biswanath Das,AMTA,IND,0,10th Pass,825865,0
Biswanath Ghorai,CHANDIPUR,BSP,0,12th Pass,22000,1050000
Biswanath Ghosh,HARIPAL,SUCI(C),0,12th Pass,602512,0
Biswanath Karak,GOGHAT (SC),BJP,8,12th Pass,2532687,0
Biswanath Sardar,RANIBANDH (ST),IND,0,Graduate,2177500,688000
Bivas Sardar (Vobo),BARUIPUR PURBA (SC),AITC,1,12th Pass,7692159,2438000
Bouri Hazari,RAGHUNATHPUR (SC),AITC,0,Graduate,1311200,740000
Bouri Parimal,RAGHUNATHPUR (SC),BSP,0,10th Pass,1074000,0
Chandan Kumar Naskar,MAGRAHAT PURBA (SC),BJP,0,Post Graduate,1740258,0
Chandan Mondal,BARUIPUR PURBA (SC),BJP,0,10th Pass,26713000,4250000
Chandan Pal,SATGACHHIA,BJP,0,12th Pass,31010125,340148
Chandan Saha,MAGRAHAT PURBA (SC),CPI(M),1,Post Graduate,717447,250000
Chandan Samanta,KHANAKUL,IND,0,10th Pass,28208347,600000
Chandana Bauri,SALTORA (SC),BJP,0,10th Pass,62296,0
Chandramohan Manik,PANSKURA PURBA,SUCI(C),1,12th Pass,830083,0
Chinmay Naskar,BARUIPUR PURBA (SC),IND,2,10th Pass,251500,0
Chiran Bera,ULUBERIA UTTAR (SC),BJP,4,10th Pass,1553,0
Chiranjib Bhowmik,SABANG,INC,0,Graduate Professional,30199448,2000268
Chiranjit Barik,PURSURAH,IND,3,10th Pass,5275650,0
Chittaranjan Dasthakur,PANSKURA PASCHIM,CPI,2,Post Graduate,6198955,800000
D. Madhusudan Rao,KHARAGPUR SADAR,Humanity Universal Motion Party,0,10th Pass,3666000,2000000
Debabrata Mondal,BASANTI (SC),IND,0,Graduate,5673649,12000
Debabrata Pattanayek,PANSKURA PURBA,BJP,1,Post Graduate,5569157,1826790
Debajyoti Basu,SATGACHHIA,IND,0,Graduate,1644930,0
Debashis Barman,SABANG,Amra Bangalee,0,12th Pass,127000,0
Debasis Das,KANTHI UTTAR,IND,2,12th Pass,356000,0
Debasish Aich,MEDINIPUR,SUCI(C),0,Post Graduate,10059604,409960
Debjit Sarkar,JANGIPARA,BJP,11,Graduate Professional,5195183,304854
Deblina Hembram,RANIBANDH (ST),CPI(M),1,10th Pass,1893732,45000
