candidate,constituency,party,criminal_cases,education,total_assets,liabilities
Pratik Ur Rahaman,DIAMOND HARBOUR,CPI(M),6,Graduate Professional,152330,0
Preetilata Das Tewari,PANSKURA PASCHIM,LJP,0,Graduate,2272000,0
Pritish Ranjan Kuar,KESHPUR (SC),BJP,0,Post Graduate,9975318,0
Protap Chandra Mondal,CANNING PASCHIM (SC),INC,0,12th Pass,5937187,733096
Pulak Kanti Guria,CHANDIPUR,BJP,2,12th Pass,252054,0
Pulak Roy,ULUBERIA DAKSHIN,AITC,0,Graduate,29705081,4390702
Purna Chandra Tudu,MANBAZAR (ST),BSP,0,Graduate,31000,0
Rabin Sardar,JAYNAGAR (SC),BJP,3,10th Pass,1265504,0
Rabindra Nath Maity,BHAGABANPUR,BJP,1,12th Pass,7375000,2500000
Rabindranath Bouri,CHHATNA,IND,0,8th Pass,140783,0
Rabindranath Ranjan,BISHNUPUR (SC),BSP,0,8th Pass,136224,0
Radharani Banerjee,BANKURA,INC,0,12th Pass,4918629,0
Rafik Akunje,CANNING PURBA,SUCI(C),0,10th Pass,2480691,0
Rajesh Mahato,GOPIBALLAVPUR,IND,0,Post Graduate,4447264,2521593
Rajib Kundu,SALBONI,BJP,8,Post Graduate,2104630,0
Rajib Lochan Saren,BANDWAN (ST),AITC,0,Graduate Professional,6193233,2034628
Rajib Mudi,BINPUR (ST),SUCI(C),0,Graduate,500,0
Ram Prasad Ghorai,ULUBERIA DAKSHIN,Indian Unity Centre,0,10th Pass,224700,0
Ram Sankar Halder,KULTALI (SC),CPI(M),0,12th Pass,1743550,0
Rama Prasad Giri,NARAYANGARH,BJP,3,Graduate,3935322,166268
Ramendu Sinharay,TARAKESWAR,AITC,4,Graduate,34964190,928525
Ramesh Khanra,BAGNAN,IND,0,12th Pass,308246,0
Ramesh Majhi,BASANTI (SC),BJP,2,8th Pass,1393853,0
Rameswar Doloi,KESHPUR (SC),CPI(M),1,12th Pass,3501155,0
Ramkrishna Maji,TALDANGRA,IND,0,12th Pass,18451,0
Ramkrishna Sarkar,JHARGRAM,BSP,2,Graduate Professional,26449292,800000
Ranajit Singha,KULPI,SUCI(C),0,12th Pass,76268,0
Raneswar Das,BARUIPUR PASCHIM,IND,0,Graduate,5122600,0
Rani Mahato,PURULIA,SUCI(C),0,10th Pass,2500,0
Rasbihari Mahata,SALBONI,IND,0,10th Pass,110000,50000
Ratan Chandra Malick,AMTA,IND,0,Graduate,1006542,0
Ratan Kumar Naskar,KULTALI (SC),IND,0,10th Pass,20000,0
Reeta Sharma,KHARAGPUR SADAR,INC,1,Graduate,4757722,0
Runu Mete,INDUS (SC),AITC,0,5th Pass,9644837,0
Sabyasachi Jana,RAMNAGAR,CPI(M),5,Graduate Professional,1158823,0
Sachindra Nath Halder,DIAMOND HARBOUR,RPI(A),0,10th Pass,160500,0
Sadananda Mandal,CHHATNA,SUCI(C),0,12th Pass,7194363,1956340
Sadhan Chattaraj,BANKURA,BSP,0,12th Pass,500,0
Safiulla Khan,DIAMOND HARBOUR,IND,0,Illiterate,3300,0
Saikat Giri,PATASHPUR,CPI,0,Post Graduate,2000,0
Sajal Kumar De,DHANEKHALI (SC),CPI(ML)(L),0,Graduate,1010000,0
Sakti Mohon Malik,ARAMBAG (SC),CPI(M),1,Post Graduate,21699145,0
Saktipada Nayak,DANTAN,BJP,0,Graduate,2178127,0
Sambhu Nath Kanji,MAGRAHAT PASCHIM,IND,0,10th Pass,1630503,0
Samir Bandyopadhyay,JANGIPARA,IND,0,10th Pass,1547000,0
Samir Hossain,PANSKURA PURBA,IND,0,Graduate,91000,0
Samir Kumar Jana,PATHARPRATIMA,AITC,2,Post Graduate,9524413,550000
Samir Kumar Panja,UDAYNARAYANPUR,AITC,0,Graduate,25762514,0
Samir Roy,PINGLA,INC,0,Graduate,5598861,0
Samir Roy,GOGHAT (SC),BSP,0,12th Pass,671674,0
Samiran Mitra,HARIPAL,BJP,0,12th Pass,84002,0
Samit Karmakar,UDAYNARAYANPUR,IND,0,5th Pass,644021,0
Samit Kumar Dash,MEDINIPUR,BJP,7,Graduate,5845913,308549
Samsul Huda Laskar,MAGRAHAT PASCHIM,IND,0,Post Graduate,430250365,15000000
Sanchay Kumar Sarkar,MANDIRBAZAR (SC),Rashtriya Secular Majlis Party,0,Post Graduate,14646884,450000
Sandhyarani Tudu,MANBAZAR (ST),AITC,0,10th Pass,2148082,0
Sandip Batabyal,TAMLUK,IND,0,12th Pass,158000,0
Sandip Kumar Dey,TALDANGRA,IND,1,Post Graduate,3645000,2100000
Sangeeta Malik,KATULPUR (SC),AITC,0,Post Graduate,1239477,0
Sangram Kumar Dolai,MOYNA,AITC,0,Post Graduate,33772323,13576750
Sanjay Bauri,TALDANGRA,Bahujan Mukti Party,0,12th Pass,21000,0
Sanjay Halder,MANDIRBAZAR (SC),IND,0,12th Pass,1070740,0
Sanjay Kumar Sah,SATGACHHIA,BSP,0,8th Pass,1553947,0
Sanjay Mandal,MAGRAHAT PURBA (SC),SUCI(C),0,10th Pass,57010,0
Sanjeeb Santra,AMTA,SUCI(C),0,12th Pass,1615858,0
Sanjit Mahata,GOPIBALLAVPUR,BJP,3,8th Pass,1670843,800000
Sanjit Patra,BAGNAN,IND,0,Graduate,866241,613704
Sanju Chakraborty,TARAKESWAR,RPI(A),0,Graduate,4094388,918749
Sankar Deb Mondal,JAYNAGAR (SC),BSP,0,10th Pass,2658785,0
Sankar Deb Mondal,BARUIPUR PURBA (SC),BSP,0,10th Pass,2658785,0
Sankar Kumar Naskar,FALTA,AITC,0,8th Pass,16430004,0
Sankar Mandal,SHYAMPUR,IND,0,Graduate Professional,6099834,1375097
Santanu Bapuli,RAIDIGHI,BJP,0,Graduate,17520000,0
Santanu Pramanik,KHEJURI (SC),BJP,0,Post Graduate,1084792,61311
Santosh Samanta,FALTA,Akhil Bharat Hindu Mahasabha,1,Graduate Professional,125000,0
Saokat Molla,CANNING PURBA,AITC,0,Graduate,30652188,4840418
Satyam Bauri,BARJORA,IND,0,12th Pass,67000,0
Satyanarayan Mukhopadhyay,CHHATNA,BJP,0,Graduate Professional,2745685,400000
Saumen Kumar Mahapatra,TAMLUK,AITC,3,Doctorate,82825747,19300000
Saumitra Pattanayak,NANDAKUMAR,SUCI(C),0,Graduate,1023808,0
Sayantika Banerjee,BANKURA,AITC,0,Graduate,4559462,4087240
Sekh Abdur Rahaman,KHARAGPUR,Humanity Universal Motion Party,0,12th Pass,2232000,856767
Seuli Saha,KESHPUR (SC),AITC,0,Graduate Professional,19580822,128745
Shankar Dolai,GHATAL (SC),AITC,0,Graduate,10370010,0
Shantiram Mahato,BALARAMPUR,AITC,2,12th Pass,10336156,0
Shashibhusan Banerjee,BISHNUPUR,SUCI(C),0,12th Pass,1008176,0
Shiba Prasad Malick,GOGHAT (SC),AIFB,0,8th Pass,2457470,0
Shiu Maiti,BHAGABANPUR,INC,0,Post Graduate,5459418,0
Shrabani Pahari,KANTHI DAKSHIN,SUCI(C),0,Post Graduate,1210396,0
Shukdeb Bera,PATHARPRATIMA,INC,0,Post Graduate,7723702,0
Shyam Mandi,NAYAGRAM (ST),BSP,0,12th Pass,44500,0
Shyama Pada Jana,NARAYANGARH,SUCI(C),1,Graduate,2631800,0
Shyamal Kumar Sarkar (Benu),TALDANGRA,BJP,7,Graduate,23141101,0
Shyamal Mondal,BASANTI (SC),AITC,0,Graduate,7057592,370230
Shyamapada Mudi,RAIPUR (ST),SUCI(C),0,Graduate,2378000,0
Shyamlal Hansda,NAYAGRAM (ST),IND,0,12th Pass,12000,0
Sib Sankar Singh,BANDWAN (ST),IND,0,Post Graduate,6581869,582293
Sibaji Mahata,JHARGRAM,IND,0,12th Pass,394399,0
Sibaram Das,CHANDRAKONA (SC),BJP,2,Graduate,4331700,1430768
Simal Saren,HARIPAL,Rashtriya Secular Majlis Party,0,Graduate Professional,590736,459182
Sintu Senapati,PANSKURA PASCHIM,BJP,2,Graduate,309096,0
Siraj Uddin Gazi,KULPI,Rashtriya Secular Majlis Party,4,Graduate,1674086,0
Sishir Kumar Manna,PINGLA,SUCI(C),0,Post Graduate,1245000,0
Sisir Kumar Mondal,MANDIRBAZAR (SC),SUCI(C),0,10th Pass,4056438,0
Sisir Kumar Patra,DANTAN,CPI,0,Post Graduate,3521478,1887050
Sital Kapat,GHATAL (SC),BJP,1,12th Pass,409916,0
Sitanath Ghosh,JAGATBALLAVPUR,AITC,0,12th Pass,23911229,0
Sitaram Hansda,BALARAMPUR,Ambedkarite Party of India,0,10th Pass,1529600,0
Sk Bosir Ahmed,BAGNAN,CPI(M),0,Graduate,2918523,0
Sk Kutub Uddin Ahmed,ULUBERIA DAKSHIN,AIFB,0,Post Graduate,34844295,0
Sk Muklesur Rahaman,SAGAR,CPI(M),0,Doctorate,8083071,2550000
Sk Rabiyal,SATGACHHIA,SUCI(C),0,10th Pass,106600,0
Sk Sabbir Ahmed,JAGATBALLAVPUR,Rashtriya Secular Majlis Party,0,Graduate Professional,9808991,0
Sk Saddam Hossain,NANDIGRAM,IND,1,12th Pass,47000,0
Sk. Amjad Ali,JANGIPARA,IND,0,12th Pass,35000,0
Sk. Hasimuddin,BANKURA,IND,0,10th Pass,186431,0
Sk. Mainuddin,JANGIPARA,Rashtriya Secular Majlis Party,15,Literate,10794005,749000
Sk. Samsuddin,JANGIPARA,IND,0,8th Pass,1391500,0
Snehasis Chakraborty,JANGIPARA,AITC,1,Post Graduate,4780255,211859
Snehasis Saha,BARUIPUR PURBA (SC),IND,0,Graduate,24830,0
Soham Chakraborty,CHANDIPUR,AITC,0,Graduate,45988266,17082921
Somnath Mandal,KHEJURI (SC),SUCI(C),0,12th Pass,6106689,70000
Somnath Mondal,FALTA,IND,0,10th Pass,12500,0
Somnath Sarkar,MAGRAHAT PURBA (SC),IND,0,10th Pass,5000,0
Sonali Murmu Soren,KESHIARY (ST),BJP,0,12th Pass,5670945,4499895
Sontosh Kumar Mondal,SALTORA (SC),AITC,0,Post Graduate,26584395,4580229
Soumen Sarkar,MANDIRBAZAR (SC),BSP,0,Post Graduate,1842083,0
Souvik Bapuli,RAIDIGHI,IND,0,12th Pass,105438,0
Sri Subhas Mahata,GOPIBALLAVPUR,IND,1,12th Pass,52000,0
Sridhar Chandra Bagari,PATHARPRATIMA,Lok Samya Party,0,Post Graduate,30053678,0
Srikanta Mahata,SALBONI,AITC,3,Graduate,8214301,2763867
Subasish Batabyal,CHHATNA,AITC,0,Post Graduate,10539450,0
Subesh Kumar Halder,MANDIRBAZAR (SC),IND,0,Graduate,3850344,0
Subhas Das,DANTAN,SUCI(C),0,Graduate,2692700,0
Subhas Naskar,BASANTI (SC),Revolutionary Socialist Party,0,Graduate,5509788,0
Subhash Mahato,BALARAMPUR,Bharateeya Manavadhikar party,0,Graduate,60000,0
Subhasish Adhikary,BAGNAN,IND,1,10th Pass,72630,0
Subhendu Mahata,TALDANGRA,SUCI(C),0,10th Pass,756000,0
Subrata Bag,MOYNA,SUCI(C),0,Graduate Professional,510045,0
Subrata Bose,NANDIGRAM,IND,0,Graduate,5575655,0
Subrata Ghorai,HALDIA (SC),BSP,0,Literate,10000,0
Sudarshan Adhikari,BARJORA,SUCI(C),0,10th Pass,288600,0
Sudarshan Rajwar,PARA (SC),BSP,0,8th Pass,303000,0
Sudhanshu Hansda,RAIPUR (ST),BJP,0,Graduate,4174000,1100000
Sudhir Ari,CHANDRAKONA (SC),IND,0,8th Pass,351000,0
Sudhir Kumar Murmu,RANIBANDH (ST),CPI(ML)(L),0,10th Pass,226000,500000
Sudip Kumar Mukherjee,PURULIA,BJP,3,8th Pass,4502782,0
Sudipta Sanfui,MAGRAHAT PURBA (SC),RPI(A),0,Graduate,2811000,0
Sujata Mondal,ARAMBAG (SC),AITC,0,Post Graduate,9692899,0
Sujit Chakraborty,BARJORA,CPI(M),2,Graduate,5886347,0
Sujit Mondal,ULUBERIA DAKSHIN,IND,0,12th Pass,11000,0
Sujoy Banerjee,PURULIA,AITC,0,12th Pass,7786827,0
Sukanta Das,DEBRA,IND,0,8th Pass,3886053,125000
Sukanta Kumar Paul,AMTA,AITC,0,Post Graduate,1939357,0
Sukchand Saren,RAIPUR (ST),IND,0,10th Pass,2217000,0
Sukesh Palmal,MEDINIPUR,Amra Bangalee,0,12th Pass,2692296,0
Sukhamay Satpathy,JHARGRAM,BJP,2,Post Graduate,623813,0
Sukumar De,NANDAKUMAR,AITC,0,Graduate,1428598,0
Sukumar Khanra,TARAKESWAR,IND,0,8th Pass,1125565,0
Sukumar Naskar,BARUIPUR PASCHIM,IND,0,10th Pass,1601000,140000
Sulalit Mallick,TAMLUK,Amra Bangalee,0,Graduate,1132415,0
Sumanta Bouri,RAGHUNATHPUR (SC),IND,0,Post Graduate,1097000,0
Sumit Ranjan Karar,UDAYNARAYANPUR,BJP,2,10th Pass,11545000,256000
Sumita Sinha,KANTHI UTTAR,BJP,0,Graduate,41410667,2653018
Sunil Kumar Jana,PANSKURA PASCHIM,SUCI(C),0,Post Graduate,4059641,0
Sunil Murmu,TALDANGRA,IND,0,12th Pass,25200,0
Supriti Chatterjee,BARJORA,BJP,0,10th Pass,1017774,175944
Surajit Ghosh,TARAKESWAR,CPI(M),3,Graduate,5680275,620000
Suranjan Mahapatra,KHARAGPUR SADAR,SUCI(C),0,12th Pass,3210214,0
Surjyendu Bikash Patra,PATASHPUR,SUCI(C),0,Graduate,5270000,0
Susanta Ghosh,KHANAKUL,BJP,2,10th Pass,3525746,150000
Susanta Kumar Das,GOPIBALLAVPUR,SHS,0,Post Graduate,7003162,0
Sushanta Mahato,BAGHMUNDI,AITC,0,Post Graduate,1365410,402634
Sutanu Maity,KANTHI UTTAR,CPI(M),2,Post Graduate,2490889,1300000
Swadesh Mandal,BANKURA,IND,0,Post Graduate,11567840,6300000
Swadesh Ranjan Nayak,RAMNAGAR,BJP,7,8th Pass,9950000,22857987
Swapan Bauri,PARA (SC),IND,0,10th Pass,1834000,1850000
Swapan Dasgupta,TARAKESWAR,BJP,0,Doctorate,66931590,3402851
Swapan Kumar Bauri,PARA (SC),CPI(M),0,Graduate,6700,0
Swapan Kumar Beltharia,KASHIPUR,AITC,1,8th Pass,15334573,4372831
Swapan Kumar Bhowmik,CHANDIPUR,SUCI(C),0,Post Graduate,9932839,872000
Swapan Kumar Das,BANKURA,IND,0,Graduate,2301294,667886
Swapan Kumar Murmu,MANBAZAR (ST),SUCI(C),0,12th Pass,500,0
Swapan Kumar Naskar,JAYNAGAR (SC),IND,0,8th Pass,5000,0
Swapan Mondal,DIAMOND HARBOUR,IND,0,10th Pass,827750,0
Swapan Naskar,HALDIA (SC),AITC,2,10th Pass,6483904,555487
Swapan Naskar,BARUIPUR PURBA (SC),CPI(M),2,Graduate,5511793,375000
Swapan Parua,NANDIGRAM,IND,0,10th Pass,636500,0
Swaraj Das,SAGAR,SUCI(C),0,Post Graduate,6852057,0
Syed Saddam Ali,KHARAGPUR,CPI(M),1,Post Graduate,979550,300000
Tanmay Ghosh (Bumba),BISHNUPUR,BJP,0,Graduate,44739508,10703064
Tanusree Ghosh,JANGIPARA,IND,0,12th Pass,230311,0
Tapan Bhuya,KHARAGPUR,BJP,2,8th Pass,1556597,500000
Tapan Kumar Dolui,GHATAL (SC),IND,0,Post Graduate,997000,0
Tapan Kumar Ghosh,GARBETA,CPI(M),14,Post Graduate,23797543,2157772
Tapan Kumar Maity,MAHISHADAL,SUCI(C),0,12th Pass,3239776,0
Tapan Mistri,GOSABA (SC),SUCI(C),0,Graduate,1220856,0
Tapas Kumar Mishra,GARBETA,SUCI(C),0,10th Pass,1400500,0
Tapas Sinha,NARAYANGARH,CPI(M),1,Graduate,3691779,650000
Tapasi Mondal,HALDIA (SC),BJP,0,10th Pass,8110430,0
Tarani Roy,BARJORA,IND,0,Illiterate,107500,0
Tarapada Chakrabarti,ONDA,AIFB,0,Post Graduate,10712000,0
Tarun Kanti Naskar,JAYNAGAR (SC),SUCI(C),0,Doctorate,5864456,0
Tarun Kumar Ghosh,MEDINIPUR,CPI,0,Post Graduate,8163428,455313
Tarun Kumar Jana,KANTHI UTTAR,AITC,6,Graduate,3803815,15700000
Tarun Kumar Maity,EGRA,AITC,0,Post Graduate,8582414,5550786
Tarun Mandal,PANSKURA PURBA,Indian Unity Centre,0,8th Pass,789760,90000
Tikaram Hembram,BANDWAN (ST),BSP,0,12th Pass,1811500,980000
Tilak Kumar Chakraborty,MAHISHADAL,AITC,2,Graduate,7316584,0
Tirtha Nath Mahato,JOYPUR,Akhil Bharat Hindu Mahasabha,0,12th Pass,500000,0
Tnusree Chakraborty,SHYAMPUR,BJP,0,Graduate,4101307,554554
Totan Bag,HARIPAL,BSP,0,Graduate,6300,0
Trayee Pradhan,RAMNAGAR,Right to Recall Party,0,Others,158063,0
Tusar Kumar Majumdar,DHANEKHALI (SC),BJP,1,Others,844620,0
Tusharkanti Mal,SHYAMPUR,IND,0,10th Pass,365914,0
Umapada Bauri,PARA (SC),AITC,0,Graduate,3860993,1000000
Utpal Mandal,JAYNAGAR (SC),LJP,0,12th Pass,114200,0
Uttam Barik,PATASHPUR,AITC,4,12th Pass,4332026,0
Uttam Kumar Bandyopadhyay,BALARAMPUR,INC,0,Graduate,1255900,0
Uttam Naskar,BISHNUPUR (SC),IND,0,10th Pass,511291,0
Uttara Singha Hazra,GARBETA,AITC,1,Graduate,17710285,6348523
Vibekananda Mondal,ULUBERIA UTTAR (SC),IND,0,12th Pass,11953,0
Vivekananda Bauri,RAGHUNATHPUR (SC),BJP,0,Graduate Professional,2030856,0
Yamini Kanta Mandi,MANBAZAR (ST),CPI(M),0,Post Graduate,3396148,1000000
